OrderNumber,ProductName,Color,Category,Subcategory,ListPrice,Orderdate,Duedate,Shipdate,PromotionName,SalesRegion,OrderQuantity,UnitPrice,SalesAmount,DiscountAmount,TaxAmount,Freight
SO51837,Patch Kit/8 Patches,NA,Accessories,Tires and Tubes,2.29,1/28/2013,2/9/2013,2/4/2013,Volume Discount 11 to 14,Germany,12,1.3282,15.6196,0.3188,1.2496,0.3905
SO51721,Patch Kit/8 Patches,NA,Accessories,Tires and Tubes,2.29,1/28/2013,2/9/2013,2/4/2013,No Discount,Northwest,3,1.374,4.122,0,0.3298,0.1031
SO51734,Patch Kit/8 Patches,NA,Accessories,Tires and Tubes,2.29,1/28/2013,2/9/2013,2/4/2013,No Discount,France,3,1.374,4.122,0,0.3298,0.1031
SO51739,Patch Kit/8 Patches,NA,Accessories,Tires and Tubes,2.29,1/28/2013,2/9/2013,2/4/2013,No Discount,France,7,1.374,9.618,0,0.7694,0.2405
SO51748,Patch Kit/8 Patches,NA,Accessories,Tires and Tubes,2.29,1/28/2013,2/9/2013,2/4/2013,No Discount,Northeast,7,1.374,9.618,0,0.7694,0.2405
SO51751,Patch Kit/8 Patches,NA,Accessories,Tires and Tubes,2.29,1/28/2013,2/9/2013,2/4/2013,No Discount,Germany,4,1.374,5.496,0,0.4397,0.1374
SO51761,Patch Kit/8 Patches,NA,Accessories,Tires and Tubes,2.29,1/28/2013,2/9/2013,2/4/2013,No Discount,Germany,3,1.374,4.122,0,0.3298,0.1031
SO51763,Patch Kit/8 Patches,NA,Accessories,Tires and Tubes,2.29,1/28/2013,2/9/2013,2/4/2013,No Discount,United Kingdom,1,1.374,1.374,0,0.1099,0.0344
SO51774,Patch Kit/8 Patches,NA,Accessories,Tires and Tubes,2.29,1/28/2013,2/9/2013,2/4/2013,No Discount,France,6,1.374,8.244,0,0.6595,0.2061
SO51775,Patch Kit/8 Patches,NA,Accessories,Tires and Tubes,2.29,1/28/2013,2/9/2013,2/4/2013,No Discount,Southeast,10,1.374,13.74,0,1.0992,0.3435
SO51782,Patch Kit/8 Patches,NA,Accessories,Tires and Tubes,2.29,1/28/2013,2/9/2013,2/4/2013,No Discount,Northeast,1,1.374,1.374,0,0.1099,0.0344
SO51789,Patch Kit/8 Patches,NA,Accessories,Tires and Tubes,2.29,1/28/2013,2/9/2013,2/4/2013,No Discount,Northwest,6,1.374,8.244,0,0.6595,0.2061
